City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,San Quintin,30.4833,-115.95,56.52,77,10,9.98,MX,2022-11-29 07:39:13
240,Borogontsy,62.6683,131.1683,-46.89,100,87,1.34,RU,2022-11-29 07:39:14
241,Tanete,-3.9443,119.7848,85.24,70,76,8.5,ID,2022-11-29 07:39:14
242,Loukhi,66.0764,33.0381,22.73,97,40,5.93,RU,2022-11-29 07:39:14
243,Copperas Cove,31.1241,-97.9031,66.45,91,100,13.8,US,2022-11-29 07:39:15
244,Monrovia,6.3005,-10.7969,76.42,85,40,2.51,LR,2022-11-29 07:39:15
245,Araouane,18.9048,-3.5265,63.82,21,0,10.65,ML,2022-11-29 07:39:16
246,Grand-Lahou,5.1367,-5.0242,79.77,81,45,6.8,CI,2022-11-29 07:39:16
247,Bilma,18.6853,12.9164,64.99,41,100,11.48,NE,2022-11-29 07:39:16
248,Jalu,29.0331,21.5482,61.5,61,0,4.18,LY,2022-11-29 07:39:17
249,Arraial Do Cabo,-22.9661,-42.0278,73.42,90,100,18.7,BR,2022-11-29 07:39:17
250,Kiruna,67.8557,20.2251,31.12,86,100,16.11,SE,2022-11-29 07:39:18
251,Hollola,61.05,25.4333,30.07,93,100,7.2,FI,2022-11-29 07:39:18
252,Mountain Home,43.133,-115.6912,20.68,79,0,11.5,US,2022-11-29 07:36:16
253,Guerrero Negro,27.9769,-114.0611,59.97,79,0,9.28,MX,2022-11-29 07:39:19
254,Buraydah,26.326,43.975,73.85,18,100,17.72,SA,2022-11-29 07:36:32
255,Rocha,-34.4833,-54.3333,63.1,96,60,6.49,UY,2022-11-29 07:39:19
256,Zhaotong,27.3167,103.7167,60.12,49,18,1.81,CN,2022-11-29 07:39:20
257,Nome,64.5011,-165.4064,8.67,66,0,6.91,US,2022-11-29 07:39:20
258,Penzance,50.1186,-5.5371,47.52,81,20,3.44,GB,2022-11-29 07:35:51
259,Ilhabela,-23.7781,-45.3581,72.63,94,100,3.2,BR,2022-11-29 07:39:21
260,Tenenkou,14.4572,-4.9169,74.84,16,8,8.55,ML,2022-11-29 07:39:21
261,Broken Hill,-31.95,141.4333,73.81,27,0,14.94,AU,2022-11-29 07:39:22
